2026-06-29T18:02:33+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:02:33.541525Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:02:33+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:02:33.541575Z  WARN warzone_sentinel: WZ ALERT [HIGH] score=58 phase=in-match (reminder) — Cheater lobby — packet shield active (blocks tiny flood packets; normal aim traffic unchanged).
2026-06-29T18:02:33+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:02:33.634068Z  WARN warzone_sentinel::notify: [ntfy] phone push rejected: HTTP 429 Too Many Requests
2026-06-29T18:02:49+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:02:49.146395Z  INFO warzone_sentinel::network_guard: [network-guard] buffer Kick (wan jitter 0.3ms) — [buffer-tune] applied profile=kick xbox_rtt=3ms ifb_rtt=3ms backlog=65536 xbox=192.0.2.50 wan=eth1 ifb=ifb0
2026-06-29T18:02:49+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:02:49.200821Z  INFO warzone_sentinel::network_guard: [network-guard] flood Shield — [packet-shield-nft] SHIELD (normal/tiny-only) already active — skip rebuild
2026-06-29T18:02:49+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:02:49.224819Z  INFO warzone_sentinel::network_guard: [network-guard] MoCA DSCP EF — moca-qos=ef backend=pve-host xbox=192.0.2.50
2026-06-29T18:02:49+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:02:49.291166Z  INFO warzone_sentinel::network_guard: [network-guard] upload boost — active=1 xbox_ceil=882mbit shaped_mbps=901
2026-06-29T18:02:49+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:02:49.597370Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:03:23+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:03:23.910205Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:03:23+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:03:23.910256Z  WARN warzone_sentinel: WZ ALERT [HIGH] score=58 phase=in-match (reminder) — Cheater lobby — packet shield active (blocks tiny flood packets; normal aim traffic unchanged).
2026-06-29T18:03:24+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:03:24.011422Z  WARN warzone_sentinel::notify: [ntfy] phone push rejected: HTTP 429 Too Many Requests
2026-06-29T18:03:51+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:03:51.390493Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:04:09+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:04:09.614468Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:04:09+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:04:09.614519Z  WARN warzone_sentinel: WZ ALERT [HIGH] score=58 phase=in-match (reminder) — Cheater lobby — packet shield active (blocks tiny flood packets; normal aim traffic unchanged).
2026-06-29T18:04:09+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:04:09.714387Z  WARN warzone_sentinel::notify: [ntfy] phone push rejected: HTTP 429 Too Many Requests
2026-06-29T18:04:23+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:04:23.106861Z  INFO warzone_sentinel::network_guard: [network-guard] buffer Kick (wan jitter 0.2ms) — [buffer-tune] applied profile=kick xbox_rtt=3ms ifb_rtt=3ms backlog=65536 xbox=192.0.2.50 wan=eth1 ifb=ifb0
2026-06-29T18:04:23+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:04:23.161317Z  INFO warzone_sentinel::network_guard: [network-guard] flood Shield — [packet-shield-nft] SHIELD (normal/tiny-only) already active — skip rebuild
2026-06-29T18:04:23+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:04:23.188006Z  INFO warzone_sentinel::network_guard: [network-guard] MoCA DSCP EF — moca-qos=ef backend=pve-host xbox=192.0.2.50
2026-06-29T18:04:23+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:04:23.253664Z  INFO warzone_sentinel::network_guard: [network-guard] upload boost — active=1 xbox_ceil=882mbit shaped_mbps=901
2026-06-29T18:04:27+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:04:27.753199Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:04:43+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:04:43.322802Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:04:58+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:04:58.659005Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:04:58+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:04:58.659055Z  WARN warzone_sentinel: WZ ALERT [HIGH] score=58 phase=in-match (reminder) — Cheater lobby — packet shield active (blocks tiny flood packets; normal aim traffic unchanged).
2026-06-29T18:04:58+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:04:58.753307Z  WARN warzone_sentinel::notify: [ntfy] phone push rejected: HTTP 429 Too Many Requests
2026-06-29T18:05:13+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:05:13.710617Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:05:33+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:05:33.492287Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:05:53+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:05:53.358559Z  INFO warzone_sentinel::network_guard: [network-guard] buffer Kick (wan jitter 0.3ms) — [buffer-tune] applied profile=kick xbox_rtt=3ms ifb_rtt=3ms backlog=65536 xbox=192.0.2.50 wan=eth1 ifb=ifb0
2026-06-29T18:05:53+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:05:53.421315Z  INFO warzone_sentinel::network_guard: [network-guard] flood Shield — [packet-shield-nft] SHIELD (normal/tiny-only) already active — skip rebuild
2026-06-29T18:05:53+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:05:53.443820Z  INFO warzone_sentinel::network_guard: [network-guard] MoCA DSCP EF — moca-qos=ef backend=pve-host xbox=192.0.2.50
2026-06-29T18:05:53+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:05:53.509153Z  INFO warzone_sentinel::network_guard: [network-guard] upload boost — active=1 xbox_ceil=882mbit shaped_mbps=901
2026-06-29T18:05:58+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:05:58.015222Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:05:58+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:05:58.015273Z  WARN warzone_sentinel: WZ ALERT [HIGH] score=58 phase=in-match (reminder) — Cheater lobby — packet shield active (blocks tiny flood packets; normal aim traffic unchanged).
2026-06-29T18:05:58+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:05:58.110513Z  WARN warzone_sentinel::notify: [ntfy] phone push rejected: HTTP 429 Too Many Requests
2026-06-29T18:06:28+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:06:28.179456Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:06:44+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:06:44.865731Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:06:44+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:06:44.865779Z  WARN warzone_sentinel: WZ ALERT [HIGH] score=58 phase=in-match (reminder) — Cheater lobby — packet shield active (blocks tiny flood packets; normal aim traffic unchanged).
2026-06-29T18:06:44+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:06:44.959905Z  WARN warzone_sentinel::notify: [ntfy] phone push rejected: HTTP 429 Too Many Requests
2026-06-29T18:07:03+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:07:03.419283Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:07:33+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:07:33.507355Z  INFO warzone_sentinel::network_guard: [network-guard] buffer Kick (wan jitter 0.3ms) — [buffer-tune] applied profile=kick xbox_rtt=3ms ifb_rtt=3ms backlog=65536 xbox=192.0.2.50 wan=eth1 ifb=ifb0
2026-06-29T18:07:33+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:07:33.561119Z  INFO warzone_sentinel::network_guard: [network-guard] flood Shield — [packet-shield-nft] SHIELD (normal/tiny-only) already active — skip rebuild
2026-06-29T18:07:33+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:07:33.591927Z  INFO warzone_sentinel::network_guard: [network-guard] MoCA DSCP EF — moca-qos=ef backend=pve-host xbox=192.0.2.50
2026-06-29T18:07:33+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:07:33.657889Z  INFO warzone_sentinel::network_guard: [network-guard] upload boost — active=1 xbox_ceil=882mbit shaped_mbps=901
2026-06-29T18:07:33+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:07:33.996145Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:07:33+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:07:33.996196Z  WARN warzone_sentinel: WZ ALERT [HIGH] score=58 phase=in-match (reminder) — Cheater lobby — packet shield active (blocks tiny flood packets; normal aim traffic unchanged).
2026-06-29T18:07:34+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:07:34.086820Z  WARN warzone_sentinel::notify: [ntfy] phone push rejected: HTTP 429 Too Many Requests
2026-06-29T18:07:54+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:07:54.873311Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
